Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Cabin_D,Embarked_C,Embarked_S
0.0,3.0,0.3057523377727402,1.0,0.0,0.0439749203447391,0.0,1.0,0.0,1.0
1.0,1.0,0.5324454519693964,1.0,0.0,0.4323693019876057,1.0,0.0,1.0,0.0
1.0,3.0,0.3624256163219042,0.0,0.0,0.0480691370664906,1.0,1.0,0.0,1.0
1.0,1.0,0.4899404930575234,1.0,0.0,0.3220783821111236,1.0,0.0,0.0,1.0
0.0,3.0,0.4899404930575234,0.0,0.0,0.0488273253482965,0.0,1.0,0.0,1.0
0.0,3.0,0.4129533862283933,0.0,0.0,0.0513038715519871,0.0,1.0,0.0,0.0
0.0,1.0,0.7591385661660527,0.0,0.0,0.3145723181212457,0.0,0.0,0.0,1.0
0.0,3.0,0.0223859450269198,3.0,1.0,0.1278305443124657,0.0,1.0,0.0,1.0
1.0,3.0,0.3765939359591952,0.0,2.0,0.0675291007826322,1.0,1.0,0.0,1.0
1.0,2.0,0.192405780674412,1.0,0.0,0.182394625476218,1.0,1.0,1.0,0.0
1.0,3.0,0.0507225843015018,1.0,1.0,0.1012939544492611,1.0,0.0,0.0,1.0
1.0,1.0,0.8158118447152167,0.0,0.0,0.1610391910555618,1.0,0.0,0.0,1.0
0.0,3.0,0.2774156984981581,0.0,0.0,0.0488273253482965,0.0,1.0,0.0,1.0
0.0,3.0,0.192405780674412,0.0,0.0,0.0476396992236758,1.0,1.0,0.0,1.0
1.0,2.0,0.7733068858033437,0.0,0.0,0.0970481000711483,1.0,1.0,0.0,1.0
1.0,2.0,0.4129533862283933,0.0,0.0,0.078851581307808,0.0,1.0,0.0,1.0
0.0,3.0,0.4332672145083593,1.0,0.0,0.1091791125800419,1.0,1.0,0.0,1.0
1.0,3.0,0.4129533862283933,0.0,0.0,0.0438232826883779,1.0,1.0,1.0,0.0
0.0,2.0,0.4899404930575234,0.0,0.0,0.1577031626156161,0.0,1.0,0.0,1.0
1.0,2.0,0.4757721734202323,0.0,0.0,0.078851581307808,0.0,1.0,0.0,1.0
1.0,3.0,0.206574100311703,0.0,0.0,0.048701162818204,1.0,1.0,0.0,0.0
1.0,1.0,0.3907622555964863,0.0,0.0,0.2153254720328604,0.0,0.0,0.0,1.0
0.0,3.0,0.1073958628506659,3.0,1.0,0.1278305443124657,1.0,1.0,0.0,1.0
0.0,3.0,0.4129533862283933,0.0,0.0,0.0438232826883779,0.0,1.0,1.0,0.0
1.0,3.0,0.4129533862283933,0.0,0.0,0.047791336880037,1.0,1.0,0.0,0.0
0.0,3.0,0.4129533862283933,0.0,0.0,0.0478920242838608,0.0,1.0,0.0,1.0
0.0,1.0,0.5607820912439784,0.0,0.0,0.1681406857782681,0.0,1.0,1.0,0.0
1.0,1.0,0.4129533862283933,1.0,0.0,0.8887228288065449,1.0,0.0,1.0,0.0
1.0,3.0,0.4129533862283933,0.0,0.0,0.0470076734719625,1.0,1.0,0.0,0.0
0.0,2.0,0.9291584018135448,0.0,0.0,0.0636878156716911,0.0,1.0,0.0,1.0
0.0,1.0,0.3907622555964863,1.0,0.0,0.4984075013328949,0.0,1.0,1.0,0.0
0.0,1.0,0.5891187305185605,1.0,0.0,0.3154063252312322,0.0,1.0,0.0,1.0
1.0,3.0,0.4129533862283933,0.0,0.0,0.0438487578146466,0.0,1.0,1.0,0.0
0.0,3.0,0.2915840181354491,0.0,0.0,0.0488273253482965,0.0,1.0,0.0,1.0
0.0,3.0,0.249079059223576,2.0,0.0,0.1091791125800419,1.0,1.0,0.0,1.0
1.0,3.0,0.192405780674412,1.0,0.0,0.0681866016606143,1.0,1.0,1.0,0.0
0.0,3.0,0.5607820912439784,1.0,0.0,0.0574706717608831,1.0,1.0,0.0,1.0
0.0,2.0,0.3765939359591952,1.0,0.0,0.1273756313433822,1.0,1.0,0.0,1.0
0.0,3.0,0.4129533862283933,0.0,0.0,0.0478920242838608,0.0,1.0,1.0,0.0
1.0,2.0,0.0365542646642108,1.0,2.0,0.2521988976548933,1.0,1.0,1.0,0.0
1.0,3.0,0.2632473788608671,0.0,0.0,0.047791336880037,1.0,1.0,0.0,0.0
0.0,3.0,0.4129533862283933,0.0,0.0,0.0488273253482965,0.0,1.0,0.0,1.0
0.0,3.0,0.4129533862283933,1.0,0.0,0.094015346943925,0.0,1.0,0.0,0.0
1.0,3.0,0.4129533862283933,0.0,0.0,0.0470076734719625,1.0,1.0,0.0,0.0
0.0,3.0,0.4129533862283933,2.0,0.0,0.1314953231914025,0.0,1.0,1.0,0.0
0.0,3.0,0.249079059223576,1.0,0.0,0.1079660113291525,1.0,1.0,0.0,1.0
0.0,3.0,0.2915840181354491,0.0,0.0,0.0473109487846848,0.0,1.0,0.0,1.0
1.0,1.0,0.6882969679795976,1.0,0.0,0.4654014424986974,1.0,0.0,1.0,0.0
1.0,2.0,0.4049305752337773,1.0,0.0,0.1577031626156161,1.0,1.0,0.0,1.0
0.0,1.0,0.914990082176254,0.0,1.0,0.3759352252456074,0.0,0.0,1.0,0.0
1.0,1.0,0.4129533862283933,0.0,0.0,0.2153254720328604,0.0,0.0,0.0,1.0
1.0,2.0,0.2915840181354491,0.0,0.0,0.0636878156716911,1.0,1.0,0.0,1.0
0.0,3.0,0.3978464154151317,0.0,0.0,0.0438487578146466,0.0,1.0,1.0,0.0
1.0,2.0,0.0648909039387928,1.0,2.0,0.1683177985608979,1.0,1.0,0.0,1.0
0.0,3.0,0.3057523377727402,0.0,0.0,0.0438487578146466,0.0,1.0,1.0,0.0
